user_id,activityLoop_id,interactionTime
28601,5,"2017-08-22 18:55:26"
28601,4,"2017-08-22 19:00:55"
28601,9,"2017-08-22 19:02:06"
28601,4,"2017-08-22 19:02:07"
28601,4,"2017-08-22 19:05:36"
28311,4,"2017-08-22 19:05:52"
28601,4,"2017-08-22 19:08:14"
28601,9,"2017-08-22 19:11:34"
28601,4,"2017-08-22 19:11:35"
28601,4,"2017-08-22 19:20:11"
28601,1,"2017-08-22 19:23:32"
28601,4,"2017-08-22 19:23:33"
28601,4,"2017-08-22 19:31:29"
28601,4,"2017-08-22 19:35:03"
28315,16,"2017-08-22 19:35:47"
28601,4,"2017-08-22 19:37:04"
28601,2,"2017-08-22 19:37:04"
28601,20,"2017-08-22 19:37:04"
28315,4,"2017-08-22 19:44:43"
28601,9,"2017-08-22 19:45:55"
28601,4,"2017-08-22 19:45:56"
28315,4,"2017-08-22 19:48:23"
28601,4,"2017-08-22 19:48:26"
28601,9,"2017-08-22 19:50:29"
28601,4,"2017-08-22 19:50:30"
28315,4,"2017-08-22 19:53:39"
28315,4,"2017-08-22 19:53:49"
28315,4,"2017-08-22 19:56:12"
28315,4,"2017-08-22 19:59:33"
28315,4,"2017-08-22 19:59:52"
28505,4,"2017-08-22 20:00:24"
28315,4,"2017-08-22 20:01:26"
28505,4,"2017-08-22 20:01:56"
28610,4,"2017-08-22 20:02:41"
28610,4,"2017-08-22 20:04:44"
28315,5,"2017-08-22 20:07:24"
28610,9,"2017-08-22 20:07:56"
28610,4,"2017-08-22 20:07:57"
28610,4,"2017-08-22 20:08:35"
28505,9,"2017-08-22 20:09:09"
28505,4,"2017-08-22 20:09:09"
28352,4,"2017-08-22 20:09:27"
28505,4,"2017-08-22 20:10:17"
28610,4,"2017-08-22 20:12:39"
28610,4,"2017-08-22 20:13:51"
28505,4,"2017-08-22 20:14:11"
28610,9,"2017-08-22 20:15:00"
28610,4,"2017-08-22 20:15:01"
28505,9,"2017-08-22 20:15:03"
28505,4,"2017-08-22 20:15:04"
28642,4,"2017-08-22 20:15:21"
28610,4,"2017-08-22 20:15:45"
28505,4,"2017-08-22 20:16:45"
28642,4,"2017-08-22 20:20:55"
28505,4,"2017-08-22 20:21:57"
28601,4,"2017-08-22 20:22:03"
28505,4,"2017-08-22 20:24:31"
28505,4,"2017-08-22 20:26:33"
28505,9,"2017-08-22 20:26:45"
28505,1,"2017-08-22 20:26:46"
28505,4,"2017-08-22 20:26:46"
28642,5,"2017-08-22 20:26:47"
28505,4,"2017-08-22 20:29:42"
28505,4,"2017-08-22 20:30:29"
28505,9,"2017-08-22 20:31:26"
28505,4,"2017-08-22 20:31:27"
28505,4,"2017-08-22 20:31:56"
28610,16,"2017-08-22 20:32:11"
28505,4,"2017-08-22 20:32:49"
28610,4,"2017-08-22 20:33:57"
28505,9,"2017-08-22 20:34:21"
28505,1,"2017-08-22 20:34:22"
28505,4,"2017-08-22 20:34:22"
28610,4,"2017-08-22 20:34:55"
28610,9,"2017-08-22 20:35:30"
28610,4,"2017-08-22 20:35:31"
28505,9,"2017-08-22 20:36:07"
28505,14,"2017-08-22 20:36:07"
28505,4,"2017-08-22 20:36:08"
28610,4,"2017-08-22 20:36:57"
28610,4,"2017-08-22 20:40:52"
28610,4,"2017-08-22 20:41:03"
28505,4,"2017-08-22 20:42:00"
28505,4,"2017-08-22 20:42:39"
28610,4,"2017-08-22 20:42:47"
28610,9,"2017-08-22 20:43:04"
28610,4,"2017-08-22 20:43:05"
28610,4,"2017-08-22 20:44:57"
28505,4,"2017-08-22 20:45:25"
28505,2,"2017-08-22 20:45:25"
28505,20,"2017-08-22 20:45:25"
28610,1,"2017-08-22 20:46:30"
28610,4,"2017-08-22 20:46:30"
28610,4,"2017-08-22 20:47:20"
28505,4,"2017-08-22 20:47:33"
28610,4,"2017-08-22 20:48:46"
28610,4,"2017-08-22 20:49:25"
28610,9,"2017-08-22 20:49:44"
28610,4,"2017-08-22 20:49:45"
28610,2,"2017-08-22 20:49:45"
28610,20,"2017-08-22 20:49:45"
28610,4,"2017-08-22 20:50:21"
28505,4,"2017-08-22 20:50:27"
28505,3,"2017-08-22 20:50:27"
28505,21,"2017-08-22 20:50:27"
28610,4,"2017-08-22 20:56:54"
28610,4,"2017-08-22 20:57:25"
28601,4,"2017-08-22 21:12:03"
28601,4,"2017-08-22 21:16:10"
28601,3,"2017-08-22 21:16:10"
28601,21,"2017-08-22 21:16:10"
28601,4,"2017-08-22 21:20:05"
28601,4,"2017-08-22 21:25:52"
28601,9,"2017-08-22 21:29:51"
28601,4,"2017-08-22 21:29:52"
28601,4,"2017-08-22 21:32:11"
28601,4,"2017-08-22 21:33:04"
28601,4,"2017-08-22 21:36:46"
28601,1,"2017-08-22 21:39:52"
28601,4,"2017-08-22 21:39:52"
28578,9,"2017-08-22 21:41:15"
28578,4,"2017-08-22 21:41:16"
28578,4,"2017-08-22 21:43:07"
28578,1,"2017-08-22 21:43:36"
28578,4,"2017-08-22 21:43:36"
28601,4,"2017-08-22 21:44:03"
28601,4,"2017-08-22 21:45:15"
28578,4,"2017-08-22 21:45:58"
28578,4,"2017-08-22 21:48:13"
28601,4,"2017-08-22 21:49:23"
28601,2,"2017-08-22 21:49:23"
28578,4,"2017-08-22 21:52:51"
28601,4,"2017-08-22 21:53:09"
28601,4,"2017-08-22 21:53:56"
28578,4,"2017-08-22 21:54:25"
28578,2,"2017-08-22 21:54:25"
28578,20,"2017-08-22 21:54:25"
28578,4,"2017-08-22 21:56:31"
28601,4,"2017-08-22 21:56:34"
28601,4,"2017-08-22 21:57:31"
28578,9,"2017-08-22 21:57:56"
28578,4,"2017-08-22 21:57:57"
28578,3,"2017-08-22 21:57:57"
28578,21,"2017-08-22 21:57:57"
28601,4,"2017-08-22 21:58:46"
28601,3,"2017-08-22 21:58:46"
28578,4,"2017-08-22 22:00:20"
28578,4,"2017-08-22 22:02:18"
28578,9,"2017-08-22 22:03:43"
28578,4,"2017-08-22 22:03:44"
28578,4,"2017-08-22 22:05:01"
28578,1,"2017-08-22 22:06:59"
28578,4,"2017-08-22 22:06:59"
28578,4,"2017-08-22 22:08:39"
28578,4,"2017-08-22 22:09:33"
28578,4,"2017-08-22 22:11:06"
28578,2,"2017-08-22 22:11:06"
28578,4,"2017-08-22 22:12:20"
28578,4,"2017-08-22 22:13:35"
